"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Negative","Calculator tests","Tue Mar 24 10:04:13 GMT 2026","passed","Tue Mar 24 10:04:13 GMT 2026","","Sub tests","",""
"","2","Negative","Calculator tests","Tue Mar 24 10:04:13 GMT 2026","passed","Tue Mar 24 10:04:13 GMT 2026","","Add tests","",""
"","2","Mixed","Calculator tests","Tue Mar 24 10:04:13 GMT 2026","passed","Tue Mar 24 10:04:13 GMT 2026","","Sub tests","",""
"","5","Positive","Calculator tests","Tue Mar 24 10:04:13 GMT 2026","passed","Tue Mar 24 10:04:13 GMT 2026","","Add tests","",""
"","9","Mixed","Calculator tests","Tue Mar 24 10:04:13 GMT 2026","passed","Tue Mar 24 10:04:13 GMT 2026","","Add tests","",""
"","2","Positive","Calculator tests","Tue Mar 24 10:04:13 GMT 2026","passed","Tue Mar 24 10:04:13 GMT 2026","","Sub tests","",""
