"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Mixed","tests","Tue Mar 24 09:40:09 GMT 2026","passed","Tue Mar 24 09:40:09 GMT 2026","","Add tests","",""
"","2","Mixed","tests","Tue Mar 24 09:40:09 GMT 2026","passed","Tue Mar 24 09:40:09 GMT 2026","","Sub tests","",""
"","3","Positive","tests","Tue Mar 24 09:40:09 GMT 2026","passed","Tue Mar 24 09:40:09 GMT 2026","","Sub tests","",""
"","2","Negative","tests","Tue Mar 24 09:40:09 GMT 2026","passed","Tue Mar 24 09:40:09 GMT 2026","","Sub tests","",""
"","4","Positive","tests","Tue Mar 24 09:40:09 GMT 2026","passed","Tue Mar 24 09:40:09 GMT 2026","","Add tests","",""
"","3","Negative","tests","Tue Mar 24 09:40:09 GMT 2026","passed","Tue Mar 24 09:40:09 GMT 2026","","Add tests","",""
